id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2017/2018,9,2017-10-21,Levante UD,Getafe CF,1,1,X,11,14,9:11,11:10,https://www.mondefootball.fr/resume/primera-division-2017-2018-levante-ud-getafe-cf/
2,2017/2018,9,2017-10-21,Real Betis,CD Alavés,2,0,1,7,19,19:17,3:14,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-betis-cd-alaves/
3,2017/2018,9,2017-10-21,Valencia CF,Sevilla FC,4,0,1,2,8,25:10,9:8,https://www.mondefootball.fr/resume/primera-division-2017-2018-valencia-cf-sevilla-fc/
4,2017/2018,9,2017-10-21,FC Barcelona,Málaga CF,2,0,1,1,20,26:3,4:20,https://www.mondefootball.fr/resume/primera-division-2017-2018-fc-barcelona-malaga-cf/
5,2017/2018,9,2017-10-22,Villarreal CF,UD Las Palmas,4,0,1,6,18,15:10,7:22,https://www.mondefootball.fr/resume/primera-division-2017-2018-villarreal-cf-ud-las-palmas/
6,2017/2018,9,2017-10-22,RC Celta,Atlético Madrid,0,1,2,12,4,18:14,14:5,https://www.mondefootball.fr/resume/primera-division-2017-2018-celta-vigo-atletico-madrid/
7,2017/2018,9,2017-10-22,CD Leganés,Athletic Club,1,0,1,5,10,8:3,10:10,https://www.mondefootball.fr/resume/primera-division-2017-2018-cd-leganes-athletic-bilbao/
8,2017/2018,9,2017-10-22,Real Madrid,SD Eibar,3,0,1,3,17,18:7,3:20,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-madrid-sd-eibar/
9,2017/2018,9,2017-10-23,Real Sociedad,Espanyol Barcelona,1,1,X,9,13,20:18,8:12,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-sociedad-espanyol-barcelona/
10,2017/2018,9,2017-10-23,Deportivo La Coruña,Girona FC,1,2,2,16,15,10:18,9:14,https://www.mondefootball.fr/resume/primera-division-2017-2018-deportivo-la-coruna-girona-fc/
