id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2017/2018,37,2018-05-12,Real Sociedad,CD Leganés,3,2,1,10,17,66:58,31:49,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-sociedad-cd-leganes/
2,2017/2018,37,2018-05-12,CD Alavés,Athletic Club,3,1,1,12,16,40:49,41:48,https://www.mondefootball.fr/resume/primera-division-2017-2018-cd-alaves-athletic-bilbao/
3,2017/2018,37,2018-05-12,Real Betis,Sevilla FC,2,2,X,6,7,58:58,48:58,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-betis-sevilla-fc/
4,2017/2018,37,2018-05-12,Deportivo La Coruña,Villarreal CF,2,4,2,18,5,37:74,55:48,https://www.mondefootball.fr/resume/primera-division-2017-2018-deportivo-la-coruna-villarreal-cf/
5,2017/2018,37,2018-05-12,SD Eibar,UD Las Palmas,1,0,1,9,19,42:48,23:72,https://www.mondefootball.fr/resume/primera-division-2017-2018-sd-eibar-ud-las-palmas/
6,2017/2018,37,2018-05-12,Getafe CF,Atlético Madrid,0,1,2,8,2,41:33,56:20,https://www.mondefootball.fr/resume/primera-division-2017-2018-getafe-cf-atletico-madrid/
7,2017/2018,37,2018-05-12,Girona FC,Valencia CF,0,1,2,11,4,48:58,63:37,https://www.mondefootball.fr/resume/primera-division-2017-2018-girona-fc-valencia-cf/
8,2017/2018,37,2018-05-12,Real Madrid,RC Celta,6,0,1,3,15,92:42,55:58,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-madrid-celta-vigo/
9,2017/2018,37,2018-05-13,Espanyol Barcelona,Málaga CF,4,1,1,14,20,35:42,24:60,https://www.mondefootball.fr/resume/primera-division-2017-2018-espanyol-barcelona-malaga-cf/
10,2017/2018,37,2018-05-13,Levante UD,FC Barcelona,5,4,1,13,1,42:54,98:29,https://www.mondefootball.fr/resume/primera-division-2017-2018-levante-ud-fc-barcelona/
