id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2012/2013,24,2013-02-15,Sevilla FC,Deportivo La Coruña,3,1,1,10,20,33:35,28:54,https://www.mondefootball.fr/resume/primera-division-2012-2013-sevilla-fc-deportivo-la-coruna/
2,2012/2013,24,2013-02-16,Getafe CF,RC Celta,3,1,1,11,18,32:43,22:31,https://www.mondefootball.fr/resume/primera-division-2012-2013-getafe-cf-celta-vigo/
3,2012/2013,24,2013-02-16,Málaga CF,Athletic Club,1,0,1,4,15,37:21,29:47,https://www.mondefootball.fr/resume/primera-division-2012-2013-malaga-cf-athletic-bilbao/
4,2012/2013,24,2013-02-16,Granada CF,FC Barcelona,1,2,2,14,1,23:34,80:27,https://www.mondefootball.fr/resume/primera-division-2012-2013-granada-cf-fc-barcelona/
5,2012/2013,24,2013-02-16,CA Osasuna,Real Zaragoza,1,0,1,16,17,20:27,23:34,https://www.mondefootball.fr/resume/primera-division-2012-2013-ca-osasuna-real-zaragoza/
6,2012/2013,24,2013-02-17,Real Sociedad,Levante UD,1,1,X,6,9,38:30,30:36,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-sociedad-levante-ud/
7,2012/2013,24,2013-02-17,Valencia CF,RCD Mallorca,2,0,1,5,19,34:35,23:45,https://www.mondefootball.fr/resume/primera-division-2012-2013-valencia-cf-rcd-mallorca/
8,2012/2013,24,2013-02-17,Real Valladolid,Atlético Madrid,0,3,2,13,2,32:32,47:23,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-valladolid-atletico-madrid/
9,2012/2013,24,2013-02-17,Espanyol Barcelona,Real Betis,1,0,1,12,8,31:34,31:35,https://www.mondefootball.fr/resume/primera-division-2012-2013-espanyol-barcelona-real-betis/
10,2012/2013,24,2013-02-17,Real Madrid,Rayo Vallecano,2,0,1,3,7,60:22,33:41,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-madrid-rayo-vallecano/
