id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2016/2017,22,2017-02-10,Espanyol Barcelona,Real Sociedad,1,2,2,9,5,30:29,36:31,https://www.mondefootball.fr/resume/primera-division-2016-2017-espanyol-barcelona-real-sociedad/
2,2016/2017,22,2017-02-11,Real Betis,Valencia CF,0,0,X,13,15,22:32,31:41,https://www.mondefootball.fr/resume/primera-division-2016-2017-real-betis-valencia-cf/
3,2016/2017,22,2017-02-11,CD Alavés,FC Barcelona,0,6,2,12,2,21:28,61:18,https://www.mondefootball.fr/resume/primera-division-2016-2017-cd-alaves-fc-barcelona/
4,2016/2017,22,2017-02-11,Athletic Club,Deportivo La Coruña,2,1,1,8,16,28:26,27:35,https://www.mondefootball.fr/resume/primera-division-2016-2017-athletic-bilbao-deportivo-la-coruna/
5,2016/2017,22,2017-02-11,CA Osasuna,Real Madrid,1,3,2,20,1,24:49,59:21,https://www.mondefootball.fr/resume/primera-division-2016-2017-ca-osasuna-real-madrid/
6,2016/2017,22,2017-02-12,Villarreal CF,Málaga CF,1,1,X,6,14,29:15,29:36,https://www.mondefootball.fr/resume/primera-division-2016-2017-villarreal-cf-malaga-cf/
7,2016/2017,22,2017-02-12,CD Leganés,Sporting Gijón,0,2,2,17,18,15:37,24:43,https://www.mondefootball.fr/resume/primera-division-2016-2017-cd-leganes-sporting-gijon/
8,2016/2017,22,2017-02-12,UD Las Palmas,Sevilla FC,0,1,2,11,3,31:33,44:28,https://www.mondefootball.fr/resume/primera-division-2016-2017-ud-las-palmas-sevilla-fc/
9,2016/2017,22,2017-02-12,Atlético Madrid,RC Celta,3,2,1,4,10,39:18,34:40,https://www.mondefootball.fr/resume/primera-division-2016-2017-atletico-madrid-celta-vigo/
10,2016/2017,22,2017-02-13,SD Eibar,Granada CF,4,0,1,7,19,36:29,17:48,https://www.mondefootball.fr/resume/primera-division-2016-2017-sd-eibar-granada-cf/
