id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2017/2018,6,2017-09-23,Atlético Madrid,Sevilla FC,2,0,1,2,3,12:4,7:3,https://www.mondefootball.fr/resume/primera-division-2017-2018-atletico-madrid-sevilla-fc/
2,2017/2018,6,2017-09-23,CD Alavés,Real Madrid,1,2,2,20,6,1:10,11:6,https://www.mondefootball.fr/resume/primera-division-2017-2018-cd-alaves-real-madrid/
3,2017/2018,6,2017-09-23,Málaga CF,Athletic Club,3,3,X,19,11,4:14,7:6,https://www.mondefootball.fr/resume/primera-division-2017-2018-malaga-cf-athletic-bilbao/
4,2017/2018,6,2017-09-23,Girona FC,FC Barcelona,0,3,2,17,1,3:8,20:2,https://www.mondefootball.fr/resume/primera-division-2017-2018-girona-fc-fc-barcelona/
5,2017/2018,6,2017-09-24,Espanyol Barcelona,Deportivo La Coruña,4,1,1,12,18,7:9,7:15,https://www.mondefootball.fr/resume/primera-division-2017-2018-espanyol-barcelona-deportivo-la-coruna/
6,2017/2018,6,2017-09-24,Getafe CF,Villarreal CF,4,0,1,10,13,8:5,6:9,https://www.mondefootball.fr/resume/primera-division-2017-2018-getafe-cf-villarreal-cf/
7,2017/2018,6,2017-09-24,SD Eibar,RC Celta,0,4,2,16,14,3:14,10:8,https://www.mondefootball.fr/resume/primera-division-2017-2018-sd-eibar-celta-vigo/
8,2017/2018,6,2017-09-24,UD Las Palmas,CD Leganés,0,2,2,15,7,5:10,5:3,https://www.mondefootball.fr/resume/primera-division-2017-2018-ud-las-palmas-cd-leganes/
9,2017/2018,6,2017-09-24,Real Sociedad,Valencia CF,2,3,2,9,4,13:13,12:5,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-sociedad-valencia-cf/
10,2017/2018,6,2017-09-25,Real Betis,Levante UD,4,0,1,5,8,10:7,8:8,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-betis-levante-ud/
