id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2017/2018,11,2017-11-03,Real Betis,Getafe CF,2,2,X,7,12,21:20,15:13,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-betis-getafe-cf/
2,2017/2018,11,2017-11-04,Valencia CF,CD Leganés,3,0,1,2,8,30:11,9:8,https://www.mondefootball.fr/resume/primera-division-2017-2018-valencia-cf-cd-leganes/
3,2017/2018,11,2017-11-04,Deportivo La Coruña,Atlético Madrid,0,1,2,16,4,13:20,16:6,https://www.mondefootball.fr/resume/primera-division-2017-2018-deportivo-la-coruna-atletico-madrid/
4,2017/2018,11,2017-11-04,CD Alavés,Espanyol Barcelona,1,0,1,18,13,5:16,9:13,https://www.mondefootball.fr/resume/primera-division-2017-2018-cd-alaves-espanyol-barcelona/
5,2017/2018,11,2017-11-04,FC Barcelona,Sevilla FC,2,1,1,1,6,30:4,12:11,https://www.mondefootball.fr/resume/primera-division-2017-2018-fc-barcelona-sevilla-fc/
6,2017/2018,11,2017-11-05,Levante UD,Girona FC,1,2,2,14,10,12:15,13:16,https://www.mondefootball.fr/resume/primera-division-2017-2018-levante-ud-girona-fc/
7,2017/2018,11,2017-11-05,RC Celta,Athletic Club,3,1,1,11,15,22:17,11:15,https://www.mondefootball.fr/resume/primera-division-2017-2018-celta-vigo-athletic-bilbao/
8,2017/2018,11,2017-11-05,Real Sociedad,SD Eibar,3,1,1,9,17,24:21,6:25,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-sociedad-sd-eibar/
9,2017/2018,11,2017-11-05,Villarreal CF,Málaga CF,2,0,1,5,20,18:11,6:23,https://www.mondefootball.fr/resume/primera-division-2017-2018-villarreal-cf-malaga-cf/
10,2017/2018,11,2017-11-05,Real Madrid,UD Las Palmas,3,0,1,3,19,22:9,8:28,https://www.mondefootball.fr/resume/primera-division-2017-2018-real-madrid-ud-las-palmas/
