id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2020/2021,10,2020-11-20,CA Osasuna,SD Huesca,1,1,X,14,19,8:11,8:16,https://www.mondefootball.fr/resume/primera-division-2020-2021-ca-osasuna-sd-huesca/
2,2020/2021,10,2020-11-21,Levante UD,Elche CF,1,1,X,18,11,10:15,8:14,https://www.mondefootball.fr/resume/primera-division-2020-2021-levante-ud-elche-cf/
3,2020/2021,10,2020-11-21,Villarreal CF,Real Madrid,1,1,X,4,3,14:10,17:10,https://www.mondefootball.fr/resume/primera-division-2020-2021-villarreal-cf-real-madrid/
4,2020/2021,10,2020-11-21,Sevilla FC,RC Celta,4,2,1,7,20,13:10,8:19,https://www.mondefootball.fr/resume/primera-division-2020-2021-sevilla-fc-celta-vigo/
5,2020/2021,10,2020-11-21,Atlético Madrid,FC Barcelona,1,0,1,1,5,21:3,21:11,https://www.mondefootball.fr/resume/primera-division-2020-2021-atletico-madrid-fc-barcelona/
6,2020/2021,10,2020-11-22,SD Eibar,Getafe CF,0,0,X,16,10,6:9,8:11,https://www.mondefootball.fr/resume/primera-division-2020-2021-sd-eibar-getafe-cf/
7,2020/2021,10,2020-11-22,Cádiz CF,Real Sociedad,0,1,2,8,2,8:11,21:4,https://www.mondefootball.fr/resume/primera-division-2020-2021-cadiz-cf-real-sociedad/
8,2020/2021,10,2020-11-22,Granada CF,Real Valladolid,1,3,2,6,17,12:14,10:15,https://www.mondefootball.fr/resume/primera-division-2020-2021-granada-cf-real-valladolid/
9,2020/2021,10,2020-11-22,CD Alavés,Valencia CF,2,2,X,15,9,9:12,17:16,https://www.mondefootball.fr/resume/primera-division-2020-2021-cd-alaves-valencia-cf/
10,2020/2021,10,2020-11-23,Athletic Club,Real Betis,4,0,1,13,12,13:12,12:21,https://www.mondefootball.fr/resume/primera-division-2020-2021-athletic-bilbao-real-betis/
