id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2019/2020,36,2020-07-11,CA Osasuna,RC Celta,2,1,1,11,16,42:51,35:46,https://www.mondefootball.fr/resume/primera-division-2019-2020-ca-osasuna-celta-vigo/
2,2019/2020,36,2020-07-11,Real Valladolid,FC Barcelona,0,1,2,14,2,29:40,80:36,https://www.mondefootball.fr/resume/primera-division-2019-2020-real-valladolid-fc-barcelona/
3,2019/2020,36,2020-07-11,Atlético Madrid,Real Betis,1,0,1,3,13,48:26,47:56,https://www.mondefootball.fr/resume/primera-division-2019-2020-atletico-madrid-real-betis/
4,2019/2020,36,2020-07-12,Espanyol Barcelona,SD Eibar,0,2,2,20,15,27:57,36:51,https://www.mondefootball.fr/resume/primera-division-2019-2020-espanyol-barcelona-sd-eibar/
5,2019/2020,36,2020-07-12,Levante UD,Athletic Club,1,2,2,12,8,43:51,41:32,https://www.mondefootball.fr/resume/primera-division-2019-2020-levante-ud-athletic-bilbao/
6,2019/2020,36,2020-07-12,CD Leganés,Valencia CF,1,0,1,18,9,26:49,45:52,https://www.mondefootball.fr/resume/primera-division-2019-2020-cd-leganes-valencia-cf/
7,2019/2020,36,2020-07-12,Sevilla FC,RCD Mallorca,2,0,1,4,19,53:34,37:61,https://www.mondefootball.fr/resume/primera-division-2019-2020-sevilla-fc-rcd-mallorca/
8,2019/2020,36,2020-07-13,CD Alavés,Getafe CF,0,0,X,17,6,32:53,43:34,https://www.mondefootball.fr/resume/primera-division-2019-2020-cd-alaves-getafe-cf/
9,2019/2020,36,2020-07-13,Villarreal CF,Real Sociedad,1,2,2,5,7,58:47,55:47,https://www.mondefootball.fr/resume/primera-division-2019-2020-villarreal-cf-real-sociedad/
10,2019/2020,36,2020-07-13,Granada CF,Real Madrid,1,2,2,10,1,46:44,66:22,https://www.mondefootball.fr/resume/primera-division-2019-2020-granada-cf-real-madrid/
