id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2012/2013,31,2013-04-12,Real Betis,Sevilla FC,3,3,X,7,10,47:46,48:45,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-betis-sevilla-fc/
2,2012/2013,31,2013-04-13,Real Valladolid,Getafe CF,2,1,1,13,8,40:44,39:46,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-valladolid-getafe-cf/
3,2012/2013,31,2013-04-13,Levante UD,Deportivo La Coruña,0,4,2,12,16,35:50,42:63,https://www.mondefootball.fr/resume/primera-division-2012-2013-levante-ud-deportivo-la-coruna/
4,2012/2013,31,2013-04-13,Espanyol Barcelona,Valencia CF,3,3,X,11,6,40:42,47:45,https://www.mondefootball.fr/resume/primera-division-2012-2013-espanyol-barcelona-valencia-cf/
5,2012/2013,31,2013-04-13,Málaga CF,CA Osasuna,1,0,1,5,15,44:32,26:36,https://www.mondefootball.fr/resume/primera-division-2012-2013-malaga-cf-ca-osasuna/
6,2012/2013,31,2013-04-14,Rayo Vallecano,Real Sociedad,0,2,2,9,4,40:51,57:39,https://www.mondefootball.fr/resume/primera-division-2012-2013-rayo-vallecano-real-sociedad/
7,2012/2013,31,2013-04-14,Atlético Madrid,Granada CF,5,0,1,3,17,56:25,27:50,https://www.mondefootball.fr/resume/primera-division-2012-2013-atletico-madrid-granada-cf/
8,2012/2013,31,2013-04-14,Real Zaragoza,FC Barcelona,0,3,2,18,1,28:49,98:33,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-zaragoza-fc-barcelona/
9,2012/2013,31,2013-04-14,Athletic Club,Real Madrid,0,3,2,14,2,34:56,80:29,https://www.mondefootball.fr/resume/primera-division-2012-2013-athletic-bilbao-real-madrid/
10,2012/2013,31,2013-04-15,RCD Mallorca,RC Celta,1,0,1,19,20,33:63,29:46,https://www.mondefootball.fr/resume/primera-division-2012-2013-rcd-mallorca-celta-vigo/
