id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2020/2021,11,2020-11-27,Real Valladolid,Levante UD,1,1,X,17,19,11:16,11:16,https://www.mondefootball.fr/resume/primera-division-2020-2021-real-valladolid-levante-ud/
2,2020/2021,11,2020-11-28,Elche CF,Cádiz CF,1,1,X,12,8,9:15,9:12,https://www.mondefootball.fr/resume/primera-division-2020-2021-elche-cf-cadiz-cf/
3,2020/2021,11,2020-11-28,Valencia CF,Atlético Madrid,0,1,2,14,1,17:17,22:3,https://www.mondefootball.fr/resume/primera-division-2020-2021-valencia-cf-atletico-madrid/
4,2020/2021,11,2020-11-28,SD Huesca,Sevilla FC,0,1,2,20,6,8:17,14:10,https://www.mondefootball.fr/resume/primera-division-2020-2021-sd-huesca-sevilla-fc/
5,2020/2021,11,2020-11-28,Real Madrid,CD Alavés,1,2,2,4,10,18:12,11:13,https://www.mondefootball.fr/resume/primera-division-2020-2021-real-madrid-cd-alaves/
6,2020/2021,11,2020-11-29,FC Barcelona,CA Osasuna,4,0,1,3,16,25:11,8:15,https://www.mondefootball.fr/resume/primera-division-2020-2021-fc-barcelona-ca-osasuna/
7,2020/2021,11,2020-11-29,Getafe CF,Athletic Club,1,1,X,11,13,9:12,14:13,https://www.mondefootball.fr/resume/primera-division-2020-2021-getafe-cf-athletic-bilbao/
8,2020/2021,11,2020-11-29,RC Celta,Granada CF,3,1,1,18,7,11:20,13:17,https://www.mondefootball.fr/resume/primera-division-2020-2021-celta-vigo-granada-cf/
9,2020/2021,11,2020-11-29,Real Sociedad,Villarreal CF,1,1,X,2,5,22:5,15:11,https://www.mondefootball.fr/resume/primera-division-2020-2021-real-sociedad-villarreal-cf/
10,2020/2021,11,2020-11-30,Real Betis,SD Eibar,0,2,2,15,9,12:23,8:9,https://www.mondefootball.fr/resume/primera-division-2020-2021-real-betis-sd-eibar/
