id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2015/2016,35,2016-04-22,UD Las Palmas,Espanyol Barcelona,4,0,1,9,15,42:46,35:67,https://www.mondefootball.fr/resume/primera-division-2015-2016-ud-las-palmas-espanyol-barcelona/
2,2015/2016,35,2016-04-23,Rayo Vallecano,Real Madrid,2,3,2,16,3,48:69,104:32,https://www.mondefootball.fr/resume/primera-division-2015-2016-rayo-vallecano-real-madrid/
3,2015/2016,35,2016-04-23,Atlético Madrid,Málaga CF,1,0,1,2,10,59:16,31:32,https://www.mondefootball.fr/resume/primera-division-2015-2016-atletico-madrid-malaga-cf/
4,2015/2016,35,2016-04-23,FC Barcelona,Sporting Gijón,6,0,1,1,19,102:29,35:61,https://www.mondefootball.fr/resume/primera-division-2015-2016-fc-barcelona-sporting-gijon/
5,2015/2016,35,2016-04-23,SD Eibar,Deportivo La Coruña,1,1,X,12,14,46:54,43:57,https://www.mondefootball.fr/resume/primera-division-2015-2016-sd-eibar-deportivo-la-coruna/
6,2015/2016,35,2016-04-24,Levante UD,Athletic Club,2,2,X,20,6,33:63,53:43,https://www.mondefootball.fr/resume/primera-division-2015-2016-levante-ud-athletic-bilbao/
7,2015/2016,35,2016-04-24,Sevilla FC,Real Betis,2,0,1,7,13,49:42,31:48,https://www.mondefootball.fr/resume/primera-division-2015-2016-sevilla-fc-real-betis/
8,2015/2016,35,2016-04-24,Getafe CF,Valencia CF,2,2,X,18,8,33:64,44:42,https://www.mondefootball.fr/resume/primera-division-2015-2016-getafe-cf-valencia-cf/
9,2015/2016,35,2016-04-24,Villarreal CF,Real Sociedad,0,0,X,4,11,42:31,42:46,https://www.mondefootball.fr/resume/primera-division-2015-2016-villarreal-cf-real-sociedad/
10,2015/2016,35,2016-04-25,RC Celta,Granada CF,2,1,1,5,17,49:55,39:63,https://www.mondefootball.fr/resume/primera-division-2015-2016-celta-vigo-granada-cf/
