id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2014/2015,2,2014-08-29,Getafe CF,UD Almería,1,0,1,12,16,2:3,1:2,https://www.mondefootball.fr/resume/primera-division-2014-2015-getafe-cf-ud-almeria/
2,2014/2015,2,2014-08-29,Valencia CF,Málaga CF,3,0,1,2,11,4:1,1:3,https://www.mondefootball.fr/resume/primera-division-2014-2015-valencia-cf-malaga-cf/
3,2014/2015,2,2014-08-30,Córdoba CF,RC Celta,1,1,X,17,3,1:3,4:2,https://www.mondefootball.fr/resume/primera-division-2014-2015-cordoba-cf-celta-vigo/
4,2014/2015,2,2014-08-30,Athletic Club,Levante UD,3,0,1,7,20,3:1,0:5,https://www.mondefootball.fr/resume/primera-division-2014-2015-athletic-bilbao-levante-ud/
5,2014/2015,2,2014-08-30,Atlético Madrid,SD Eibar,2,1,1,5,13,2:1,2:2,https://www.mondefootball.fr/resume/primera-division-2014-2015-atletico-madrid-sd-eibar/
6,2014/2015,2,2014-08-30,Espanyol Barcelona,Sevilla FC,1,2,2,15,4,2:3,3:2,https://www.mondefootball.fr/resume/primera-division-2014-2015-espanyol-barcelona-sevilla-fc/
7,2014/2015,2,2014-08-31,Villarreal CF,FC Barcelona,0,1,2,9,1,2:1,4:0,https://www.mondefootball.fr/resume/primera-division-2014-2015-villarreal-cf-fc-barcelona/
8,2014/2015,2,2014-08-31,Real Sociedad,Real Madrid,4,2,1,8,10,4:3,4:4,https://www.mondefootball.fr/resume/primera-division-2014-2015-real-sociedad-real-madrid/
9,2014/2015,2,2014-08-31,Deportivo La Coruña,Rayo Vallecano,2,2,X,19,14,3:4,2:2,https://www.mondefootball.fr/resume/primera-division-2014-2015-deportivo-la-coruna-rayo-vallecano/
10,2014/2015,2,2014-08-31,Elche CF,Granada CF,1,1,X,18,6,1:4,3:2,https://www.mondefootball.fr/resume/primera-division-2014-2015-elche-cf-granada-cf/
