id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2012/2013,6,2012-09-29,Valencia CF,Real Zaragoza,2,0,1,10,15,8:8,5:8,https://www.mondefootball.fr/resume/primera-division-2012-2013-valencia-cf-real-zaragoza/
2,2012/2013,6,2012-09-29,Málaga CF,Real Betis,4,0,1,3,9,10:2,10:13,https://www.mondefootball.fr/resume/primera-division-2012-2013-malaga-cf-real-betis/
3,2012/2013,6,2012-09-29,Real Sociedad,Athletic Club,2,0,1,8,18,8:9,8:14,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-sociedad-athletic-bilbao/
4,2012/2013,6,2012-09-29,Sevilla FC,FC Barcelona,2,3,2,4,1,8:5,17:5,https://www.mondefootball.fr/resume/primera-division-2012-2013-sevilla-fc-fc-barcelona/
5,2012/2013,6,2012-09-30,Granada CF,RC Celta,2,1,1,17,14,4:9,7:8,https://www.mondefootball.fr/resume/primera-division-2012-2013-granada-cf-celta-vigo/
6,2012/2013,6,2012-09-30,Real Valladolid,Rayo Vallecano,6,1,1,7,13,10:6,7:13,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-valladolid-rayo-vallecano/
7,2012/2013,6,2012-09-30,CA Osasuna,Levante UD,4,0,1,19,12,7:10,7:13,https://www.mondefootball.fr/resume/primera-division-2012-2013-ca-osasuna-levante-ud/
8,2012/2013,6,2012-09-30,Real Madrid,Deportivo La Coruña,5,1,1,6,16,12:5,8:12,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-madrid-deportivo-la-coruna/
9,2012/2013,6,2012-09-30,Espanyol Barcelona,Atlético Madrid,0,1,2,20,2,7:12,16:7,https://www.mondefootball.fr/resume/primera-division-2012-2013-espanyol-barcelona-atletico-madrid/
10,2012/2013,6,2012-10-01,Getafe CF,RCD Mallorca,1,0,1,11,5,7:10,7:4,https://www.mondefootball.fr/resume/primera-division-2012-2013-getafe-cf-rcd-mallorca/
