id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2015/2016,16,2015-12-19,Valencia CF,Getafe CF,2,2,X,9,15,21:14,18:26,https://www.mondefootball.fr/resume/primera-division-2015-2016-valencia-cf-getafe-cf/
2,2015/2016,16,2015-12-19,Espanyol Barcelona,UD Las Palmas,1,0,1,12,19,16:26,12:23,https://www.mondefootball.fr/resume/primera-division-2015-2016-espanyol-barcelona-ud-las-palmas/
3,2015/2016,16,2015-12-19,Real Betis,Sevilla FC,0,0,X,11,8,13:19,21:19,https://www.mondefootball.fr/resume/primera-division-2015-2016-real-betis-sevilla-fc/
4,2015/2016,16,2015-12-19,Deportivo La Coruña,SD Eibar,2,0,1,6,10,25:16,19:19,https://www.mondefootball.fr/resume/primera-division-2015-2016-deportivo-la-coruna-sd-eibar/
5,2015/2016,16,2015-12-20,Real Madrid,Rayo Vallecano,10,2,1,3,17,42:15,18:37,https://www.mondefootball.fr/resume/primera-division-2015-2016-real-madrid-rayo-vallecano/
6,2015/2016,16,2015-12-20,Real Sociedad,Villarreal CF,0,2,2,14,5,17:22,21:15,https://www.mondefootball.fr/resume/primera-division-2015-2016-real-sociedad-villarreal-cf/
7,2015/2016,16,2015-12-20,Granada CF,RC Celta,0,2,2,18,4,17:27,28:22,https://www.mondefootball.fr/resume/primera-division-2015-2016-granada-cf-celta-vigo/
8,2015/2016,16,2015-12-20,Athletic Club,Levante UD,2,0,1,7,20,24:18,12:29,https://www.mondefootball.fr/resume/primera-division-2015-2016-athletic-bilbao-levante-ud/
9,2015/2016,16,2015-12-20,Málaga CF,Atlético Madrid,1,0,1,13,2,10:14,22:8,https://www.mondefootball.fr/resume/primera-division-2015-2016-malaga-cf-atletico-madrid/
10,2015/2016,16,2016-02-17,Sporting Gijón,FC Barcelona,1,3,2,16,1,16:26,39:16,https://www.mondefootball.fr/resume/primera-division-2015-2016-sporting-gijon-fc-barcelona/
