id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2015/2016,27,2016-03-01,Atlético Madrid,Real Sociedad,3,0,1,2,9,39:11,36:38,https://www.mondefootball.fr/resume/primera-division-2015-2016-atletico-madrid-real-sociedad/
2,2015/2016,27,2016-03-01,UD Las Palmas,Getafe CF,4,0,1,15,16,29:40,26:44,https://www.mondefootball.fr/resume/primera-division-2015-2016-ud-las-palmas-getafe-cf/
3,2015/2016,27,2016-03-02,Sevilla FC,SD Eibar,1,0,1,5,8,38:28,40:36,https://www.mondefootball.fr/resume/primera-division-2015-2016-sevilla-fc-sd-eibar/
4,2015/2016,27,2016-03-02,RC Celta,Villarreal CF,0,0,X,6,4,39:44,33:18,https://www.mondefootball.fr/resume/primera-division-2015-2016-celta-vigo-villarreal-cf/
5,2015/2016,27,2016-03-02,Málaga CF,Valencia CF,1,2,2,11,10,24:25,32:30,https://www.mondefootball.fr/resume/primera-division-2015-2016-malaga-cf-valencia-cf/
6,2015/2016,27,2016-03-02,Athletic Club,Deportivo La Coruña,4,1,1,7,12,42:36,34:36,https://www.mondefootball.fr/resume/primera-division-2015-2016-athletic-bilbao-deportivo-la-coruna/
7,2015/2016,27,2016-03-02,Levante UD,Real Madrid,1,3,2,20,3,25:51,74:26,https://www.mondefootball.fr/resume/primera-division-2015-2016-levante-ud-real-madrid/
8,2015/2016,27,2016-03-03,Granada CF,Sporting Gijón,2,0,1,18,19,29:51,30:48,https://www.mondefootball.fr/resume/primera-division-2015-2016-granada-cf-sporting-gijon/
9,2015/2016,27,2016-03-03,Espanyol Barcelona,Real Betis,0,3,2,14,13,26:53,24:36,https://www.mondefootball.fr/resume/primera-division-2015-2016-espanyol-barcelona-real-betis/
10,2015/2016,27,2016-03-03,Rayo Vallecano,FC Barcelona,1,5,2,17,1,37:58,74:22,https://www.mondefootball.fr/resume/primera-division-2015-2016-rayo-vallecano-fc-barcelona/
