id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2013/2014,29,2014-03-21,RC Celta,Málaga CF,0,2,2,12,13,33:41,28:36,https://www.mondefootball.fr/resume/primera-division-2013-2014-celta-vigo-malaga-cf/
2,2013/2014,29,2014-03-22,Granada CF,Elche CF,1,0,1,11,14,28:39,24:41,https://www.mondefootball.fr/resume/primera-division-2013-2014-granada-cf-elche-cf/
3,2013/2014,29,2014-03-22,Espanyol Barcelona,Levante UD,0,0,X,10,9,32:34,26:35,https://www.mondefootball.fr/resume/primera-division-2013-2014-espanyol-barcelona-levante-ud/
4,2013/2014,29,2014-03-22,Real Valladolid,Rayo Vallecano,1,1,X,19,15,31:49,33:63,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-valladolid-rayo-vallecano/
5,2013/2014,29,2014-03-22,Athletic Club,Getafe CF,1,0,1,4,18,52:32,26:46,https://www.mondefootball.fr/resume/primera-division-2013-2014-athletic-bilbao-getafe-cf/
6,2013/2014,29,2014-03-23,CA Osasuna,Sevilla FC,1,2,2,16,5,25:50,53:44,https://www.mondefootball.fr/resume/primera-division-2013-2014-ca-osasuna-sevilla-fc/
7,2013/2014,29,2014-03-23,Real Betis,Atlético Madrid,0,2,2,20,1,23:58,66:21,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-betis-atletico-madrid/
8,2013/2014,29,2014-03-23,Valencia CF,Villarreal CF,2,1,1,8,7,41:40,49:36,https://www.mondefootball.fr/resume/primera-division-2013-2014-valencia-cf-villarreal-cf/
9,2013/2014,29,2014-03-23,Real Madrid,FC Barcelona,3,4,2,2,3,80:30,85:25,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-madrid-fc-barcelona/
10,2013/2014,29,2014-03-24,UD Almería,Real Sociedad,4,3,1,17,6,31:55,52:43,https://www.mondefootball.fr/resume/primera-division-2013-2014-ud-almeria-real-sociedad/
