id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2013/2014,11,2013-10-29,Espanyol Barcelona,Málaga CF,0,0,X,8,15,12:14,11:14,https://www.mondefootball.fr/resume/primera-division-2013-2014-espanyol-barcelona-malaga-cf/
2,2013/2014,11,2013-10-29,RC Celta,FC Barcelona,0,3,2,18,1,13:16,33:7,https://www.mondefootball.fr/resume/primera-division-2013-2014-celta-vigo-fc-barcelona/
3,2013/2014,11,2013-10-30,Real Valladolid,Real Sociedad,2,2,X,14,9,14:17,13:12,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-valladolid-real-sociedad/
4,2013/2014,11,2013-10-30,Valencia CF,UD Almería,1,2,2,12,20,14:19,13:24,https://www.mondefootball.fr/resume/primera-division-2013-2014-valencia-cf-ud-almeria/
5,2013/2014,11,2013-10-30,Real Madrid,Sevilla FC,7,3,1,3,11,27:14,20:24,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-madrid-sevilla-fc/
6,2013/2014,11,2013-10-30,CA Osasuna,Rayo Vallecano,3,1,1,16,19,10:16,8:27,https://www.mondefootball.fr/resume/primera-division-2013-2014-ca-osasuna-rayo-vallecano/
7,2013/2014,11,2013-10-31,Villarreal CF,Getafe CF,0,2,2,4,6,19:12,16:12,https://www.mondefootball.fr/resume/primera-division-2013-2014-villarreal-cf-getafe-cf/
8,2013/2014,11,2013-10-31,Granada CF,Atlético Madrid,1,2,2,13,2,7:12,28:8,https://www.mondefootball.fr/resume/primera-division-2013-2014-granada-cf-atletico-madrid/
9,2013/2014,11,2013-10-31,Athletic Club,Elche CF,2,2,X,5,10,18:15,12:15,https://www.mondefootball.fr/resume/primera-division-2013-2014-athletic-bilbao-elche-cf/
10,2013/2014,11,2013-10-31,Real Betis,Levante UD,0,0,X,17,7,9:17,12:14,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-betis-levante-ud/
