id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2014/2015,10,2014-10-31,Deportivo La Coruña,Getafe CF,1,2,2,18,9,12:21,8:14,https://www.mondefootball.fr/resume/primera-division-2014-2015-deportivo-la-coruna-getafe-cf/
2,2014/2015,10,2014-11-01,Granada CF,Real Madrid,0,4,2,15,1,6:17,37:10,https://www.mondefootball.fr/resume/primera-division-2014-2015-granada-cf-real-madrid/
3,2014/2015,10,2014-11-01,Atlético Madrid,Córdoba CF,4,2,1,3,20,19:9,8:18,https://www.mondefootball.fr/resume/primera-division-2014-2015-atletico-madrid-cordoba-cf/
4,2014/2015,10,2014-11-01,FC Barcelona,RC Celta,0,1,2,4,6,23:4,17:11,https://www.mondefootball.fr/resume/primera-division-2014-2015-fc-barcelona-celta-vigo/
5,2014/2015,10,2014-11-01,Real Sociedad,Málaga CF,0,1,2,19,7,10:15,12:8,https://www.mondefootball.fr/resume/primera-division-2014-2015-real-sociedad-malaga-cf/
6,2014/2015,10,2014-11-02,Athletic Club,Sevilla FC,1,0,1,11,5,7:12,17:10,https://www.mondefootball.fr/resume/primera-division-2014-2015-athletic-bilbao-sevilla-fc/
7,2014/2015,10,2014-11-02,Villarreal CF,Valencia CF,1,3,2,8,2,14:12,23:9,https://www.mondefootball.fr/resume/primera-division-2014-2015-villarreal-cf-valencia-cf/
8,2014/2015,10,2014-11-02,Levante UD,UD Almería,2,1,1,17,14,6:24,8:12,https://www.mondefootball.fr/resume/primera-division-2014-2015-levante-ud-ud-almeria/
9,2014/2015,10,2014-11-02,Elche CF,Espanyol Barcelona,2,1,1,16,13,10:22,10:12,https://www.mondefootball.fr/resume/primera-division-2014-2015-elche-cf-espanyol-barcelona/
10,2014/2015,10,2014-11-03,Rayo Vallecano,SD Eibar,2,3,2,12,10,13:19,12:13,https://www.mondefootball.fr/resume/primera-division-2014-2015-rayo-vallecano-sd-eibar/
