id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2013/2014,18,2014-01-04,Málaga CF,Atlético Madrid,0,1,2,11,2,19:23,47:11,https://www.mondefootball.fr/resume/primera-division-2013-2014-malaga-cf-atletico-madrid/
2,2013/2014,18,2014-01-04,Real Valladolid,Real Betis,0,0,X,18,20,21:29,15:36,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-valladolid-real-betis/
3,2013/2014,18,2014-01-04,Valencia CF,Levante UD,2,0,1,8,12,25:29,17:27,https://www.mondefootball.fr/resume/primera-division-2013-2014-valencia-cf-levante-ud/
4,2013/2014,18,2014-01-04,UD Almería,Granada CF,3,0,1,14,13,20:32,15:25,https://www.mondefootball.fr/resume/primera-division-2013-2014-ud-almeria-granada-cf/
5,2013/2014,18,2014-01-05,Sevilla FC,Getafe CF,3,0,1,7,9,35:29,20:30,https://www.mondefootball.fr/resume/primera-division-2013-2014-sevilla-fc-getafe-cf/
6,2013/2014,18,2014-01-05,FC Barcelona,Elche CF,4,0,1,1,16,53:12,16:27,https://www.mondefootball.fr/resume/primera-division-2013-2014-fc-barcelona-elche-cf/
7,2013/2014,18,2014-01-05,CA Osasuna,Espanyol Barcelona,1,0,1,15,10,15:28,22:24,https://www.mondefootball.fr/resume/primera-division-2013-2014-ca-osasuna-espanyol-barcelona/
8,2013/2014,18,2014-01-05,Real Sociedad,Athletic Club,2,0,1,5,4,35:23,26:23,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-sociedad-athletic-bilbao/
9,2013/2014,18,2014-01-06,Real Madrid,RC Celta,3,0,1,3,17,52:21,21:30,https://www.mondefootball.fr/resume/primera-division-2013-2014-real-madrid-celta-vigo/
10,2013/2014,18,2014-01-06,Rayo Vallecano,Villarreal CF,2,5,2,19,6,18:45,32:20,https://www.mondefootball.fr/resume/primera-division-2013-2014-rayo-vallecano-villarreal-cf/
