id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2020/2021,2,2020-09-19,Villarreal CF,SD Eibar,2,1,1,6,14,3:2,1:2,https://www.mondefootball.fr/resume/primera-division-2020-2021-villarreal-cf-sd-eibar/
2,2020/2021,2,2020-09-19,Getafe CF,CA Osasuna,1,0,1,12,9,1:2,2:1,https://www.mondefootball.fr/resume/primera-division-2020-2021-getafe-cf-ca-osasuna/
3,2020/2021,2,2020-09-19,RC Celta,Valencia CF,2,1,1,7,8,2:1,5:4,https://www.mondefootball.fr/resume/primera-division-2020-2021-celta-vigo-valencia-cf/
4,2020/2021,2,2020-09-20,SD Huesca,Cádiz CF,0,2,2,17,10,1:3,2:2,https://www.mondefootball.fr/resume/primera-division-2020-2021-sd-huesca-cadiz-cf/
5,2020/2021,2,2020-09-20,Real Betis,Real Valladolid,2,0,1,2,16,3:0,1:3,https://www.mondefootball.fr/resume/primera-division-2020-2021-real-betis-real-valladolid/
6,2020/2021,2,2020-09-20,Granada CF,CD Alavés,2,1,1,3,18,4:1,1:3,https://www.mondefootball.fr/resume/primera-division-2020-2021-granada-cf-cd-alaves/
7,2020/2021,2,2020-09-20,Real Sociedad,Real Madrid,0,0,X,13,5,1:1,2:0,https://www.mondefootball.fr/resume/primera-division-2020-2021-real-sociedad-real-madrid/
8,2020/2021,2,2021-01-06,Athletic Club,FC Barcelona,2,3,2,20,1,2:5,6:2,https://www.mondefootball.fr/resume/primera-division-2020-2021-athletic-bilbao-fc-barcelona/
9,2020/2021,2,2021-02-17,Levante UD,Atlético Madrid,1,1,X,15,4,3:5,3:1,https://www.mondefootball.fr/resume/primera-division-2020-2021-levante-ud-atletico-madrid/
10,2020/2021,2,2021-03-17,Sevilla FC,Elche CF,2,0,1,11,19,2:2,0:5,https://www.mondefootball.fr/resume/primera-division-2020-2021-sevilla-fc-elche-cf/
