id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2016/2017,10,2016-10-28,CD Leganés,Real Sociedad,0,2,2,16,6,9:19,16:12,https://www.mondefootball.fr/resume/primera-division-2016-2017-cd-leganes-real-sociedad/
2,2016/2017,10,2016-10-29,Sporting Gijón,Sevilla FC,1,1,X,18,4,8:19,18:13,https://www.mondefootball.fr/resume/primera-division-2016-2017-sporting-gijon-sevilla-fc/
3,2016/2017,10,2016-10-29,CD Alavés,Real Madrid,1,4,2,15,1,10:15,28:10,https://www.mondefootball.fr/resume/primera-division-2016-2017-cd-alaves-real-madrid/
4,2016/2017,10,2016-10-29,Atlético Madrid,Málaga CF,4,2,1,3,11,25:6,14:14,https://www.mondefootball.fr/resume/primera-division-2016-2017-atletico-madrid-malaga-cf/
5,2016/2017,10,2016-10-29,FC Barcelona,Granada CF,1,0,1,2,20,30:12,8:24,https://www.mondefootball.fr/resume/primera-division-2016-2017-fc-barcelona-granada-cf/
6,2016/2017,10,2016-10-30,SD Eibar,Villarreal CF,2,1,1,8,5,16:14,17:7,https://www.mondefootball.fr/resume/primera-division-2016-2017-sd-eibar-villarreal-cf/
7,2016/2017,10,2016-10-30,Athletic Club,CA Osasuna,1,1,X,7,19,15:13,12:20,https://www.mondefootball.fr/resume/primera-division-2016-2017-athletic-bilbao-ca-osasuna/
8,2016/2017,10,2016-10-30,Real Betis,Espanyol Barcelona,0,1,2,13,12,11:20,13:17,https://www.mondefootball.fr/resume/primera-division-2016-2017-real-betis-espanyol-barcelona/
9,2016/2017,10,2016-10-30,UD Las Palmas,RC Celta,3,3,X,10,9,20:18,16:20,https://www.mondefootball.fr/resume/primera-division-2016-2017-ud-las-palmas-celta-vigo/
10,2016/2017,10,2016-10-31,Deportivo La Coruña,Valencia CF,1,1,X,17,14,7:15,14:19,https://www.mondefootball.fr/resume/primera-division-2016-2017-deportivo-la-coruna-valencia-cf/
