id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2012/2013,12,2012-11-17,CA Osasuna,Málaga CF,0,0,X,19,5,11:15,15:9,https://www.mondefootball.fr/resume/primera-division-2012-2013-ca-osasuna-malaga-cf/
2,2012/2013,12,2012-11-17,Valencia CF,Espanyol Barcelona,2,1,1,8,20,16:14,13:20,https://www.mondefootball.fr/resume/primera-division-2012-2013-valencia-cf-espanyol-barcelona/
3,2012/2013,12,2012-11-17,FC Barcelona,Real Zaragoza,3,1,1,1,13,39:15,15:21,https://www.mondefootball.fr/resume/primera-division-2012-2013-fc-barcelona-real-zaragoza/
4,2012/2013,12,2012-11-17,Real Madrid,Athletic Club,5,1,1,3,14,32:9,17:26,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-madrid-athletic-bilbao/
5,2012/2013,12,2012-11-18,Deportivo La Coruña,Levante UD,0,2,2,18,4,18:27,15:16,https://www.mondefootball.fr/resume/primera-division-2012-2013-deportivo-la-coruna-levante-ud/
6,2012/2013,12,2012-11-18,RC Celta,RCD Mallorca,1,1,X,16,15,14:18,13:20,https://www.mondefootball.fr/resume/primera-division-2012-2013-celta-vigo-rcd-mallorca/
7,2012/2013,12,2012-11-18,Getafe CF,Real Valladolid,2,1,1,10,12,14:19,17:14,https://www.mondefootball.fr/resume/primera-division-2012-2013-getafe-cf-real-valladolid/
8,2012/2013,12,2012-11-18,Granada CF,Atlético Madrid,0,1,2,17,2,11:19,25:11,https://www.mondefootball.fr/resume/primera-division-2012-2013-granada-cf-atletico-madrid/
9,2012/2013,12,2012-11-18,Sevilla FC,Real Betis,5,1,1,7,6,18:14,19:22,https://www.mondefootball.fr/resume/primera-division-2012-2013-sevilla-fc-real-betis/
10,2012/2013,12,2012-11-19,Real Sociedad,Rayo Vallecano,4,0,1,9,11,16:16,16:29,https://www.mondefootball.fr/resume/primera-division-2012-2013-real-sociedad-rayo-vallecano/
