id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2015/2016,20,2016-01-16,Sevilla FC,Málaga CF,2,1,1,7,11,28:22,15:17,https://www.mondefootball.fr/resume/primera-division-2015-2016-sevilla-fc-malaga-cf/
2,2015/2016,20,2016-01-16,RC Celta,Levante UD,4,3,1,5,20,32:30,17:36,https://www.mondefootball.fr/resume/primera-division-2015-2016-celta-vigo-levante-ud/
3,2015/2016,20,2016-01-16,Villarreal CF,Real Betis,0,0,X,4,14,26:16,13:28,https://www.mondefootball.fr/resume/primera-division-2015-2016-villarreal-cf-real-betis/
4,2015/2016,20,2016-01-16,Real Sociedad,Deportivo La Coruña,1,1,X,13,8,23:28,27:24,https://www.mondefootball.fr/resume/primera-division-2015-2016-real-sociedad-deportivo-la-coruna/
5,2015/2016,20,2016-01-17,Valencia CF,Rayo Vallecano,2,2,X,12,18,25:21,23:45,https://www.mondefootball.fr/resume/primera-division-2015-2016-valencia-cf-rayo-vallecano/
6,2015/2016,20,2016-01-17,Real Madrid,Sporting Gijón,5,1,1,3,19,57:19,18:37,https://www.mondefootball.fr/resume/primera-division-2015-2016-real-madrid-sporting-gijon/
7,2015/2016,20,2016-01-17,Getafe CF,Espanyol Barcelona,3,1,1,10,15,24:28,18:33,https://www.mondefootball.fr/resume/primera-division-2015-2016-getafe-cf-espanyol-barcelona/
8,2015/2016,20,2016-01-17,UD Las Palmas,Atlético Madrid,0,3,2,16,2,19:30,30:8,https://www.mondefootball.fr/resume/primera-division-2015-2016-ud-las-palmas-atletico-madrid/
9,2015/2016,20,2016-01-17,FC Barcelona,Athletic Club,6,0,1,1,9,53:16,27:28,https://www.mondefootball.fr/resume/primera-division-2015-2016-fc-barcelona-athletic-bilbao/
10,2015/2016,20,2016-01-18,SD Eibar,Granada CF,5,1,1,6,17,32:21,21:41,https://www.mondefootball.fr/resume/primera-division-2015-2016-sd-eibar-granada-cf/
