id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,home_position,away_position,home_scored_and_conceded_goals,away_scored_and_conceded_goals,detail_link
1,2017/2018,34,2018-04-20,CD Leganés,Deportivo La Coruña,0,0,X,15,18,28:41,32:65,https://www.mondefootball.fr/resume/primera-division-2017-2018-cd-leganes-deportivo-la-coruna/
2,2017/2018,34,2018-04-21,SD Eibar,Getafe CF,0,1,2,11,8,37:47,39:31,https://www.mondefootball.fr/resume/primera-division-2017-2018-sd-eibar-getafe-cf/
3,2017/2018,34,2018-04-21,RC Celta,Valencia CF,1,1,X,10,4,53:47,62:36,https://www.mondefootball.fr/resume/primera-division-2017-2018-celta-vigo-valencia-cf/
4,2017/2018,34,2018-04-22,Girona FC,Espanyol Barcelona,0,2,2,9,16,46:52,28:40,https://www.mondefootball.fr/resume/primera-division-2017-2018-girona-fc-espanyol-barcelona/
5,2017/2018,34,2018-04-22,Málaga CF,Real Sociedad,2,0,1,20,12,22:51,60:54,https://www.mondefootball.fr/resume/primera-division-2017-2018-malaga-cf-real-sociedad/
6,2017/2018,34,2018-04-22,UD Las Palmas,CD Alavés,0,4,2,19,13,22:69,34:47,https://www.mondefootball.fr/resume/primera-division-2017-2018-ud-las-palmas-cd-alaves/
7,2017/2018,34,2018-04-22,Atlético Madrid,Real Betis,0,0,X,2,5,54:18,54:53,https://www.mondefootball.fr/resume/primera-division-2017-2018-atletico-madrid-real-betis/
8,2017/2018,34,2018-04-23,Athletic Club,Levante UD,1,3,2,14,17,37:42,32:49,https://www.mondefootball.fr/resume/primera-division-2017-2018-athletic-bilbao-levante-ud/
9,2017/2018,34,2018-05-09,FC Barcelona,Villarreal CF,5,1,1,1,6,88:20,46:45,https://www.mondefootball.fr/resume/primera-division-2017-2018-fc-barcelona-villarreal-cf/
10,2017/2018,34,2018-05-09,Sevilla FC,Real Madrid,3,2,1,7,3,44:54,82:39,https://www.mondefootball.fr/resume/primera-division-2017-2018-sevilla-fc-real-madrid/
